Afghanistan,59.9,1947,above,below
Albania,50.7,11301,below,below
Algeria,49.5,14504,below,below
Angola,40.4,7344,below,below
Argentina,46.1,22554,below,above
Armenia,72.4,8468,above,below
Australia,84.1,47389,above,above
Austria,67.6,47250,above,above
Azerbaijan,75.0,17993,above,above
Bahamas,71.5,25167,above,above
Bahrain,78.7,50095,above,above
Bangladesh,68.7,3607,above,below
Barbados,67.7,16575,above,above
Belarus,74.6,17654,above,above
Belgium,61.1,43585,above,above
Belize,53.6,8373,below,below
Benin,52.4,2113,below,below
Bhutan,77.6,8201,above,below
Bolivia,35.8,6465,below,below
Bosnia and Herzegovina,59.3,10492,below,below
Botswana,68.6,16368,above,above
Brazil,52.3,15615,below,above
Bulgaria,68.3,19097,above,above
Burkina Faso,53.3,1724,below,below
Burma,77.1,5469,above,below
Burundi,67.4,819,above,below
Cambodia,62.0,3488,above,below
Cameroon,47.8,3144,below,below
Canada,73.1,45553,above,above
Cabo Verde,43.2,6522,below,below
Central African Republic,42.7,630,below,below
Chad,44.9,2634,below,below
Chile,64.3,23460,above,above
China,63.4,14107,above,below
Colombia,77.9,13847,above,below
Comoros,50.6,1519,below,below
"Congo, Democratic Republic of the Congo",38.4,770,below,below
"Congo, Republic of",37.5,6722,below,below
Costa Rica,53.9,15482,below,above
Côte d'Ivoire,50.6,3316,below,below
Croatia,43.3,21581,below,above
Cuba,20.0,12580,below,below
Cyprus,58.6,32786,below,above
Czech Republic,77.7,31550,above,above
Denmark,85.8,45709,above,above
Djibouti,59.0,3204,below,below
Dominica,59.0,10788,below,below
Dominican Republic,56.2,14984,below,above
Ecuador,47.3,11264,below,below
Egypt,51.3,11850,below,below
El Salvador,54.5,8303,below,below
Equatorial Guinea,38.5,31758,below,above
Eritrea,69.7,1297,above,below
Estonia,56.9,28592,below,above
Ethiopia,57.2,1801,below,below
Fiji,70.5,9044,above,below
Finland,53.4,41120,below,above
France,44.1,41181,below,above
Gabon,58.4,18639,below,above
Gambia,65.6,1646,above,below
Georgia,75.9,9630,above,below
Germany,42.8,46893,below,above
Ghana,57.4,4266,below,below
Greece,51.0,26449,below,above
Guatemala,48.2,7738,below,below
Guinea,54.8,1214,below,below
Guinea-Bissau,60.9,1508,above,below
Guyana,70.9,7509,above,below
Haiti,62.1,1750,above,below
Honduras,31.2,4869,below,below
Hong Kong SAR,89.1,56701,above,above
Hungary,64.4,26222,above,above
Iceland,62.6,46097,above,above
India,41.6,6162,below,below
Indonesia,48.9,11126,below,below
Iran,54.5,17251,below,above
Iraq,68.0,15474,above,above
Ireland,73.6,55533,above,above
Israel,64.3,33656,above,above
Italy,52.9,35708,below,above
Jamaica,73.7,8759,above,below
Japan,77.5,38054,above,above
Jordan,58.1,12123,below,below
Kazakhstan,82.5,24268,above,above
Kenya,62.4,3208,above,below
Kiribati,71.9,1787,above,below
"Korea, South",57.0,36511,below,above
Kuwait,61.5,70166,above,above
Kyrgyz Republic,79.8,3363,above,below
Lao P.D.R.,54.4,5309,below,below
Latvia,72.0,24712,above,above
Lebanon,49.5,18240,below,above
Lesotho,57.7,2987,below,below
Liberia,48.5,873,below,below
Libya,52.5,14650,below,below
Lithuania,63.6,28359,above,above
Luxembourg,43.8,98987,below,above
Macau,50.0,98135,below,above
Macedonia,66.7,14009,above,below
Madagascar,43.8,1462,below,below
Malawi,56.9,1124,below,below
Malaysia,73.1,26315,above,above
Maldives,70.4,14923,above,above
Mali,51.1,2199,below,below
Malta,57.2,36005,below,above
Mauritania,57.4,4395,below,below
Mauritius,68.8,19509,above,above
Mexico,57.9,17534,below,above
Micronesia,67.7,2955,above,below
Moldova,38.9,5006,below,below
Mongolia,76.6,12147,above,below
Montenegro,67.4,16123,above,above
Morocco,33.8,8164,below,below
Mozambique,41.0,1186,below,below
Namibia,84.4,11408,above,below
Nepal,47.6,2465,below,below
Netherlands,70.5,49166,above,above
New Zealand,86.2,36172,above,above
