Afghanistan,59.9,"$1,947"
Albania,50.7,"$11,301"
Algeria,49.5,"$14,504"
Angola,40.4,"$7,344"
Argentina,46.1,"$22,554"
Armenia,72.4,"$8,468"
Australia,84.1,"$47,389"
Austria,67.6,"$47,250"
Azerbaijan,75.0,"$17,993"
Bahamas,71.5,"$25,167"
Bahrain,78.7,"$50,095"
Bangladesh,68.7,"$3,607"
Barbados,67.7,"$16,575"
Belarus,74.6,"$17,654"
Belgium,61.1,"$43,585"
Belize,53.6,"$8,373"
Benin,52.4,"$2,113"
Bhutan,77.6,"$8,201"
Bolivia,35.8,"$6,465"
Bosnia and Herzegovina,59.3,"$10,492"
Botswana,68.6,"$16,368"
Brazil,52.3,"$15,615"
Bulgaria,68.3,"$19,097"
Burkina Faso,53.3,"$1,724"
Burma,77.1,"$5,469"
Burundi,67.4,$819
Cambodia,62.0,"$3,488"
Cameroon,47.8,"$3,144"
Canada,73.1,"$45,553"
Cabo Verde,43.2,"$6,522"
Central African Republic,42.7,$630
Chad,44.9,"$2,634"
Chile,64.3,"$23,460"
China,63.4,"$14,107"
Colombia,77.9,"$13,847"
Comoros,50.6,"$1,519"
"Congo, Democratic Republic of the Congo",38.4,$770
"Congo, Republic of",37.5,"$6,722"
Costa Rica,53.9,"$15,482"
Côte d'Ivoire,50.6,"$3,316"
Croatia,43.3,"$21,581"
Cuba,20.0,"$12,580 "
Cyprus,58.6,"$32,786"
Czech Republic,77.7,"$31,550"
Denmark,85.8,"$45,709"
Djibouti,59.0,"$3,204"
Dominica,59.0,"$10,788"
Dominican Republic,56.2,"$14,984"
Ecuador,47.3,"$11,264"
Egypt,51.3,"$11,850"
El Salvador,54.5,"$8,303"
Equatorial Guinea,38.5,"$31,758"
Eritrea,69.7,"$1,297"
Estonia,56.9,"$28,592"
Ethiopia,57.2,"$1,801"
Fiji,70.5,"$9,044"
Finland,53.4,"$41,120"
France,44.1,"$41,181"
Gabon,58.4,"$18,639"
Gambia,65.6,"$1,646"
Georgia,75.9,"$9,630"
Germany,42.8,"$46,893"
Ghana,57.4,"$4,266"
Greece,51.0,"$26,449"
Guatemala,48.2,"$7,738"
Guinea,54.8,"$1,214"
Guinea-Bissau,60.9,"$1,508"
Guyana,70.9,"$7,509"
Haiti,62.1,"$1,750"
Honduras,31.2,"$4,869"
Hong Kong SAR,89.1,"$56,701"
Hungary,64.4,"$26,222"
Iceland,62.6,"$46,097"
India,41.6,"$6,162"
Indonesia,48.9,"$11,126"
Iran,54.5,"$17,251"
Iraq,68.0,"$15,474"
Ireland,73.6,"$55,533"
